th,roman,en,de,cat
ตรงไปอีกนิด,trong bpai iik nit,go a bit further,noch ein Stueck geradeaus,Alltag
ใกล้ถึงแล้ว,klai thueng laeo,almost there,gleich da,Alltag
ไกลไหม,klai mai,is it far?,ist es weit?,Alltag
ใกล้ไหม,klai mai,is it near?,ist es nah?,Alltag
อยู่ที่ไหน,yuu thii nai,where is it?,wo ist es?,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
เพิ่มเติม,phoemterm,extra,extra,Alltag
